Non-Ordinary step!!. step=4199663, t=2.09983e+06, gorputza=83,k=7
Non-Ordinary step!!. step=4199664, t=2.09983e+06, gorputza=36,k=7
Non-Ordinary step!!. step=4199664, t=2.09983e+06, gorputza=37,k=7
Non-Ordinary step!!. step=4199664, t=2.09983e+06, gorputza=38,k=7
Non-Ordinary step!!. step=4199664, t=2.09983e+06, gorputza=69,k=7
Non-Ordinary step!!. step=4199664, t=2.09983e+06, gorputza=70,k=7
Non-Ordinary step!!. step=4199664, t=2.09983e+06, gorputza=71,k=7
Non-Ordinary step!!. step=4199664, t=2.09983e+06, gorputza=81,k=7
Non-Ordinary step!!. step=4199664, t=2.09983e+06, gorputza=82,k=7
Non-Ordinary step!!. step=4199664, t=2.09983e+06, gorputza=83,k=7
Non-Ordinary step!!. step=4199665, t=2.09983e+06, gorputza=36,k=6
Non-Ordinary step!!. step=4199665, t=2.09983e+06, gorputza=37,k=6
Non-Ordinary step!!. step=4199665, t=2.09983e+06, gorputza=38,k=6
Non-Ordinary step!!. step=4199665, t=2.09983e+06, gorputza=69,k=6
Non-Ordinary step!!. step=4199665, t=2.09983e+06, gorputza=70,k=6
Non-Ordinary step!!. step=4199665, t=2.09983e+06, gorputza=71,k=6
Non-Ordinary step!!. step=4199665, t=2.09983e+06, gorputza=81,k=6
Non-Ordinary step!!. step=4199665, t=2.09983e+06, gorputza=82,k=6
Non-Ordinary step!!. step=4199665, t=2.09983e+06, gorputza=83,k=6
Non-Ordinary step!!. step=4199666, t=2.09983e+06, gorputza=36,k=6
Non-Ordinary step!!. step=4199666, t=2.09983e+06, gorputza=38,k=6
Non-Ordinary step!!. step=4199666, t=2.09983e+06, gorputza=69,k=6
Non-Ordinary step!!. step=4199666, t=2.09983e+06, gorputza=70,k=6
Non-Ordinary step!!. step=4199666, t=2.09983e+06, gorputza=71,k=6
Non-Ordinary step!!. step=4199666, t=2.09983e+06, gorputza=81,k=6
Non-Ordinary step!!. step=4199666, t=2.09983e+06, gorputza=82,k=6
Non-Ordinary step!!. step=4199666, t=2.09983e+06, gorputza=83,k=6
Non-Ordinary step!!. step=4199667, t=2.09983e+06, gorputza=37,k=5
Non-Ordinary step!!. step=4199667, t=2.09983e+06, gorputza=38,k=5
Non-Ordinary step!!. step=4199667, t=2.09983e+06, gorputza=69,k=5
Non-Ordinary step!!. step=4199667, t=2.09983e+06, gorputza=71,k=5
Non-Ordinary step!!. step=4199667, t=2.09983e+06, gorputza=81,k=5
Non-Ordinary step!!. step=4199667, t=2.09983e+06, gorputza=83,k=5
Non-Ordinary step!!. step=4199668, t=2.09983e+06, gorputza=38,k=5
Non-Ordinary step!!. step=4199668, t=2.09983e+06, gorputza=71,k=5
Non-Ordinary step!!. step=4199668, t=2.09983e+06, gorputza=82,k=5
Non-Ordinary step!!. step=4199668, t=2.09983e+06, gorputza=83,k=5
Non-Ordinary step!!. step=4199669, t=2.09983e+06, gorputza=71,k=4
Non-Ordinary step!!. step=4199669, t=2.09983e+06, gorputza=81,k=4
Non-Ordinary step!!. step=4199669, t=2.09983e+06, gorputza=82,k=4
Non-Ordinary step!!. step=4199669, t=2.09983e+06, gorputza=83,k=4
Non-Ordinary step!!. step=4199670, t=2.09984e+06, gorputza=81,k=4
Non-Ordinary step!!. step=4199670, t=2.09984e+06, gorputza=82,k=4
Non-Ordinary step!!. step=4199670, t=2.09984e+06, gorputza=83,k=4
Non-Ordinary step!!. step=4199671, t=2.09984e+06, gorputza=81,k=4
Non-Ordinary step!!. step=4199671, t=2.09984e+06, gorputza=82,k=4
Non-Ordinary step!!. step=4199672, t=2.09984e+06, gorputza=81,k=3
Non-Ordinary step!!. step=4199672, t=2.09984e+06, gorputza=82,k=3
Non-Ordinary step!!. step=4269571, t=2.13479e+06, gorputza=80,k=3
Non-Ordinary step!!. step=4269572, t=2.13479e+06, gorputza=80,k=4
Non-Ordinary step!!. step=4269573, t=2.13479e+06, gorputza=80,k=4
Non-Ordinary step!!. step=4269574, t=2.13479e+06, gorputza=78,k=4
Non-Ordinary step!!. step=4269574, t=2.13479e+06, gorputza=80,k=4
Non-Ordinary step!!. step=4269575, t=2.13479e+06, gorputza=78,k=4
