Non-Ordinary step!!. step=1258690, t=3.77607e+06, gorputza=75,k=8
Non-Ordinary step!!. step=1258690, t=3.77607e+06, gorputza=76,k=8
Non-Ordinary step!!. step=1258690, t=3.77607e+06, gorputza=77,k=8
Non-Ordinary step!!. step=1258691, t=3.77607e+06, gorputza=27,k=15
Non-Ordinary step!!. step=1258691, t=3.77607e+06, gorputza=28,k=15
Non-Ordinary step!!. step=1258691, t=3.77607e+06, gorputza=29,k=15
Non-Ordinary step!!. step=1258691, t=3.77607e+06, gorputza=30,k=15
Non-Ordinary step!!. step=1258691, t=3.77607e+06, gorputza=31,k=15
Non-Ordinary step!!. step=1258691, t=3.77607e+06, gorputza=32,k=15
Non-Ordinary step!!. step=1258691, t=3.77607e+06, gorputza=72,k=15
Non-Ordinary step!!. step=1258691, t=3.77607e+06, gorputza=73,k=15
Non-Ordinary step!!. step=1258691, t=3.77607e+06, gorputza=74,k=15
Non-Ordinary step!!. step=1258691, t=3.77607e+06, gorputza=75,k=15
Non-Ordinary step!!. step=1258691, t=3.77607e+06, gorputza=76,k=15
Non-Ordinary step!!. step=1258691, t=3.77607e+06, gorputza=77,k=15
Non-Ordinary step!!. step=1258692, t=3.77608e+06, gorputza=27,k=6
Non-Ordinary step!!. step=1258692, t=3.77608e+06, gorputza=28,k=6
Non-Ordinary step!!. step=1258692, t=3.77608e+06, gorputza=29,k=6
Non-Ordinary step!!. step=1258692, t=3.77608e+06, gorputza=30,k=6
Non-Ordinary step!!. step=1258692, t=3.77608e+06, gorputza=31,k=6
Non-Ordinary step!!. step=1258692, t=3.77608e+06, gorputza=32,k=6
Non-Ordinary step!!. step=1258692, t=3.77608e+06, gorputza=72,k=6
Non-Ordinary step!!. step=1258692, t=3.77608e+06, gorputza=73,k=6
Non-Ordinary step!!. step=1258692, t=3.77608e+06, gorputza=74,k=6
Non-Ordinary step!!. step=1258692, t=3.77608e+06, gorputza=75,k=6
Non-Ordinary step!!. step=1258692, t=3.77608e+06, gorputza=76,k=6
Non-Ordinary step!!. step=1258692, t=3.77608e+06, gorputza=77,k=6
Non-Ordinary step!!. step=1284947, t=3.85484e+06, gorputza=29,k=3
Non-Ordinary step!!. step=1305837, t=3.91751e+06, gorputza=78,k=3
Non-Ordinary step!!. step=1305837, t=3.91751e+06, gorputza=80,k=3
Non-Ordinary step!!. step=1305838, t=3.91751e+06, gorputza=78,k=4
Non-Ordinary step!!. step=1305838, t=3.91751e+06, gorputza=79,k=4
Non-Ordinary step!!. step=1305838, t=3.91751e+06, gorputza=80,k=4
Non-Ordinary step!!. step=1305839, t=3.91752e+06, gorputza=78,k=4
Non-Ordinary step!!. step=1305840, t=3.91752e+06, gorputza=78,k=4
Non-Ordinary step!!. step=1305840, t=3.91752e+06, gorputza=80,k=4
Non-Ordinary step!!. step=1401872, t=4.20562e+06, gorputza=80,k=3
Non-Ordinary step!!. step=1401873, t=4.20562e+06, gorputza=80,k=3
Non-Ordinary step!!. step=1404116, t=4.21235e+06, gorputza=78,k=4
Non-Ordinary step!!. step=1404116, t=4.21235e+06, gorputza=79,k=4
Non-Ordinary step!!. step=1404116, t=4.21235e+06, gorputza=80,k=4
Non-Ordinary step!!. step=1404117, t=4.21235e+06, gorputza=33,k=8
Non-Ordinary step!!. step=1404117, t=4.21235e+06, gorputza=34,k=8
Non-Ordinary step!!. step=1404117, t=4.21235e+06, gorputza=35,k=8
Non-Ordinary step!!. step=1404117, t=4.21235e+06, gorputza=78,k=8
Non-Ordinary step!!. step=1404117, t=4.21235e+06, gorputza=79,k=8
Non-Ordinary step!!. step=1404117, t=4.21235e+06, gorputza=80,k=8
Non-Ordinary step!!. step=1404118, t=4.21235e+06, gorputza=27,k=24
Non-Ordinary step!!. step=1404118, t=4.21235e+06, gorputza=28,k=24
Non-Ordinary step!!. step=1404118, t=4.21235e+06, gorputza=29,k=24
Non-Ordinary step!!. step=1404118, t=4.21235e+06, gorputza=33,k=24
Non-Ordinary step!!. step=1404118, t=4.21235e+06, gorputza=34,k=24
Non-Ordinary step!!. step=1404118, t=4.21235e+06, gorputza=35,k=24
Non-Ordinary step!!. step=1404118, t=4.21235e+06, gorputza=72,k=24
Non-Ordinary step!!. step=1404118, t=4.21235e+06, gorputza=73,k=24
Non-Ordinary step!!. step=1404118, t=4.21235e+06, gorputza=74,k=24
Non-Ordinary step!!. step=1404118, t=4.21235e+06, gorputza=78,k=24
Non-Ordinary step!!. step=1404118, t=4.21235e+06, gorputza=79,k=24
Non-Ordinary step!!. step=1404118, t=4.21235e+06, gorputza=80,k=24
Non-Ordinary step!!. step=1404119, t=4.21236e+06, gorputza=27,k=9
Non-Ordinary step!!. step=1404119, t=4.21236e+06, gorputza=28,k=9
Non-Ordinary step!!. step=1404119, t=4.21236e+06, gorputza=29,k=9
Non-Ordinary step!!. step=1404119, t=4.21236e+06, gorputza=33,k=9
Non-Ordinary step!!. step=1404119, t=4.21236e+06, gorputza=34,k=9
Non-Ordinary step!!. step=1404119, t=4.21236e+06, gorputza=35,k=9
Non-Ordinary step!!. step=1404119, t=4.21236e+06, gorputza=72,k=9
Non-Ordinary step!!. step=1404119, t=4.21236e+06, gorputza=73,k=9
Non-Ordinary step!!. step=1404119, t=4.21236e+06, gorputza=74,k=9
Non-Ordinary step!!. step=1404119, t=4.21236e+06, gorputza=78,k=9
Non-Ordinary step!!. step=1404119, t=4.21236e+06, gorputza=79,k=9
Non-Ordinary step!!. step=1404119, t=4.21236e+06, gorputza=80,k=9
Non-Ordinary step!!. step=1491728, t=4.47518e+06, gorputza=82,k=3
Non-Ordinary step!!. step=1491728, t=4.47518e+06, gorputza=83,k=3
Non-Ordinary step!!. step=1491729, t=4.47519e+06, gorputza=36,k=5
Non-Ordinary step!!. step=1491729, t=4.47519e+06, gorputza=37,k=5
Non-Ordinary step!!. step=1491729, t=4.47519e+06, gorputza=38,k=5
Non-Ordinary step!!. step=1491729, t=4.47519e+06, gorputza=81,k=5
Non-Ordinary step!!. step=1491729, t=4.47519e+06, gorputza=82,k=5
Non-Ordinary step!!. step=1491729, t=4.47519e+06, gorputza=83,k=5
Non-Ordinary step!!. step=1491730, t=4.47519e+06, gorputza=28,k=7
Non-Ordinary step!!. step=1491730, t=4.47519e+06, gorputza=36,k=7
Non-Ordinary step!!. step=1491730, t=4.47519e+06, gorputza=37,k=7
Non-Ordinary step!!. step=1491730, t=4.47519e+06, gorputza=38,k=7
